MutationsType	DBS2	DBS4	DBS6	DBS9	DBS11
AC>CA	0.00037059	0.00413700	0.00265601	0.02452796	0.00136268
AC>CG	0.00003141	0.00004956	0.00014578	0.00206394	0.00019296
AC>CT	0.00012485	0.00000000	0.00023964	0.02841654	0.00075196
AC>GA	0.00023484	0.00439681	0.00856712	0.02522591	0.00043964
AC>GG	0.00000000	0.00000000	0.00010384	0.00710912	0.00223798
AC>GT	0.00027745	0.00000001	0.00013180	0.01206456	0.00567950
AC>TA	0.00146651	0.00126908	0.01008483	0.04107934	0.00026259
AC>TG	0.00000630	0.00005306	0.00044833	0.01784758	0.00023772
AC>TT	0.00289338	0.00016088	0.00317522	0.04426997	0.00280493
AT>CA	0.00003765	0.00092002	0.00011441	0.01272761	0.00947761
AT>CC	0.00000000	0.00000000	0.00006413	0.00178387	0.00189952
AT>CG	0.00000000	0.00000000	0.00000183	0.00000000	0.00001740
AT>GA	0.00016732	0.00032542	0.00162585	0.00638385	0.01119718
AT>GC	0.00000583	0.00001768	0.00001726	0.00181394	0.00417895
AT>TA	0.00045615	0.00454988	0.00220794	0.00922000	0.00383903
CC>AA	0.72467037	0.00000000	0.00000000	0.00000000	0.00000000
CC>AG	0.07266722	0.00548105	0.06213083	0.02658945	0.00097661
CC>AT	0.10009259	0.01584761	0.00044177	0.01963993	0.03466345
CC>GA	0.01771639	0.00358338	0.03580591	0.01107894	0.00095752
CC>GG	0.00045042	0.00007369	0.01825597	0.00308196	0.00346635
CC>GT	0.00110102	0.00008065	0.00346964	0.01802845	0.06982927
CC>TA	0.01601481	0.00017160	0.00223913	0.00069193	0.05907858
CC>TG	0.00023722	0.00000838	0.00692920	0.01561123	0.03245303
CC>TT	0.00000000	0.00000000	0.00000000	0.00000000	0.33357294
CG>AT	0.00112486	0.00028606	0.00743181	0.00021555	0.00178699
CG>GC	0.00036093	0.00000503	0.00058153	0.00001181	0.00016299
CG>GT	0.00125201	0.00000000	0.00317380	0.00009783	0.00115860
CG>TA	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
CG>TC	0.00210299	0.00000000	0.00878216	0.00013090	0.00067257
CG>TT	0.00543843	0.00035610	0.01843169	0.00008159	0.00068632
CT>AA	0.00318405	0.00000000	0.00447793	0.00000000	0.00438105
CT>AC	0.00000000	0.00000000	0.00194910	0.00000000	0.00233988
CT>AG	0.00058225	0.00036311	0.03948177	0.00058090	0.00049386
CT>GA	0.00001795	0.00067321	0.00733661	0.00283463	0.01155005
CT>GC	0.00013292	0.00007222	0.00178917	0.00310412	0.00608369
CT>GG	0.00008907	0.00092629	0.00680686	0.01038035	0.00400269
CT>TA	0.00335268	0.00000000	0.00008836	0.00000000	0.04152043
CT>TC	0.00003809	0.00000000	0.00000000	0.00002994	0.00297712
CT>TG	0.00038685	0.00003081	0.01119483	0.00000000	0.00147363
GC>AA	0.00506695	0.32992756	0.00000000	0.00000000	0.00100123
GC>AG	0.00032416	0.01136641	0.00367865	0.12445368	0.00329404
GC>AT	0.00095055	0.00929430	0.00188958	0.12646099	0.02723343
GC>CA	0.00105728	0.01196993	0.00873428	0.02750025	0.00211259
GC>CG	0.00006673	0.00000099	0.00000000	0.00250915	0.00404496
GC>TA	0.00073411	0.01780402	0.00083322	0.01405122	0.00024330
TA>AT	0.00275091	0.03066761	0.00863872	0.01560196	0.00223924
TA>CG	0.00001891	0.00039242	0.00026108	0.00135888	0.00058642
TA>CT	0.00028009	0.00879676	0.02630929	0.01429341	0.00339400
TA>GC	0.00008223	0.00007082	0.00026612	0.00058281	0.00102422
TA>GG	0.00007893	0.00223954	0.00021975	0.00327138	0.00037655
TA>GT	0.00130043	0.00813095	0.00006300	0.00783118	0.00268106
TC>AA	0.00143088	0.37716943	0.04554336	0.00366408	0.00021495
TC>AG	0.00019736	0.00186097	0.00823360	0.04637196	0.04695310
TC>AT	0.00000000	0.00836938	0.00059067	0.05143614	0.08380237
TC>CA	0.00067301	0.08419138	0.01173388	0.04845721	0.00027934
TC>CG	0.00000384	0.00039807	0.00085717	0.00773528	0.00320945
TC>CT	0.00330583	0.00000824	0.00933738	0.05103895	0.01991049
TC>GA	0.00087333	0.03622419	0.00729887	0.01717848	0.00023278
TC>GG	0.00000974	0.00001035	0.00150154	0.00370380	0.00726089
TC>GT	0.00008457	0.00000000	0.00000000	0.00000000	0.01505669
TG>AA	0.00293669	0.00763401	0.02549358	0.01577345	0.00779792
TG>AC	0.00021827	0.00011806	0.01009746	0.00725778	0.00086245
TG>AT	0.00425621	0.00000000	0.22094435	0.00074475	0.01045698
TG>CA	0.00014287	0.00080442	0.01139713	0.02276169	0.05587014
TG>CC	0.00005893	0.00012006	0.00788801	0.01178017	0.00311718
TG>CT	0.00304582	0.00008214	0.27493075	0.00096637	0.00555714
TG>GA	0.00145842	0.00785413	0.00743813	0.00616961	0.00728005
TG>GC	0.00026986	0.00060432	0.00559859	0.00390343	0.00609492
TG>GT	0.00634960	0.00003232	0.02739310	0.00333439	0.00521853
TT>AA	0.00426677	0.00001797	0.00019253	0.00033969	0.00474014
TT>AC	0.00034154	0.00000066	0.00012769	0.00663437	0.00103349
TT>AG	0.00021284	0.00000000	0.00211486	0.00091447	0.00126205
TT>CA	0.00000000	0.00000000	0.00000000	0.00000000	0.00200735
TT>CC	0.00000295	0.00000000	0.00000000	0.00514014	0.00397496
TT>CG	0.00001505	0.00000000	0.00001117	0.00001972	0.00000000
TT>GA	0.00004742	0.00000000	0.00000000	0.00000000	0.00070257
TT>GC	0.00000152	0.00000000	0.00000041	0.00003546	0.00000574
TT>GG	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
