Samples	Signature A	Signature B	Signature C	Signature D	Signature E
PD4199a	981	0	113	97	278
PD4005a	523	380	436	21	0
PD3851a	0	0	92	0	343
PD4116a	234	1114	292	222	0
PD4086a	136	70	25	286	0
PD4194a	86	0	39	55	204
PD4248a	13	254	0	54	282
PD4120a	14398	200	204	0	0
PD4198a	5	157	227	249	485
PD3904a	198	704	0	53	372
PD3945a	17	821	739	833	131
PD4107a	0	823	703	511	470
PD3905a	190	697	168	7	117
PD4192a	266	373	281	29	43
PD4109a	425	452	445	1054	6
PD4103a	200	253	0	0	803
PD4115a	0	825	695	928	0
PD4085a	0	73	0	343	209
PD3890a	169	72	976	0	257
PD4006a	93	375	1360	261	149
PD4088a	36	0	0	288	66
