Samples	Signature A	Signature B	Signature C	Signature D	Signature E
PD4199a	2.87E+01	2.03E+01	5.72E+01	7.45E+01	2.03E+01
PD4005a	2.76E+01	9.76E+01	8.21E+01	2.76E+01	8.80E+01
PD3851a	7.39E+00	2.47E+01	3.22E+01	1.74E+01	2.24E+01
PD4116a	4.08E+01	9.86E+01	6.53E+01	3.42E+01	1.19E+02
PD4086a	1.22E+01	2.50E+01	3.28E+01	3.35E+01	2.44E+01
PD4194a	9.27E+00	1.87E+01	4.30E+01	3.43E+01	1.21E+01
PD4248a	1.08E+01	2.45E+01	2.16E+01	4.13E+01	4.54E+01
PD4120a	2.88E+01	3.83E+01	4.93E+01	3.99E+01	3.60E+01
PD4198a	1.48E+01	4.76E+01	4.88E+01	5.78E+01	5.81E+01
PD3904a	2.78E+01	4.09E+01	8.20E+01	7.00E+01	7.13E+01
PD3945a	1.54E+01	4.20E+01	1.08E+02	1.30E+02	1.10E+02
PD4107a	7.69E+00	9.04E+01	1.04E+02	1.05E+02	1.00E+02
PD3905a	1.34E+01	4.62E+01	3.25E+01	1.67E+01	5.26E+01
PD4192a	2.13E+01	8.63E+01	5.00E+01	2.08E+01	7.45E+01
PD4109a	3.16E+01	8.86E+01	1.41E+02	3.68E+01	1.33E+02
PD4103a	2.57E+01	6.95E+00	4.46E+01	5.65E+01	4.99E+01
PD4115a	1.25E+01	1.04E+02	6.21E+01	4.84E+01	1.34E+02
PD4085a	3.60E+00	2.22E+01	6.92E+01	4.43E+01	3.12E+01
PD3890a	3.67E+01	8.18E+01	5.32E+01	8.44E+01	7.25E+01
PD4006a	3.68E+01	1.03E+02	1.00E+02	8.09E+01	1.27E+02
PD4088a	1.05E+01	8.34E+00	4.72E+01	3.96E+01	4.87E+00
