Sample Names	MutationTypes	Signature A	Signature B
PD4005a	TG>AA	1.0	0.0
PD4005a	TG>AC	1.0	0.0
PD4005a	TG>AT	1.0	0.0
PD4005a	TG>CA	1.0	0.0
PD4005a	TG>CC	1.0	0.0
PD4005a	TG>CT	1.0	0.0
PD4005a	TG>GA	1.0	0.0
PD4005a	TG>GC	1.0	0.0
PD4005a	TG>GT	1.0	0.0
PD4005a	TT>AA	1.0	0.0
PD4005a	TT>AC	1.0	0.0
PD4005a	TT>AG	1.0	0.0
PD4005a	TT>CA	1.0	0.0
PD4005a	TT>CC	1.0	0.0
PD4005a	TT>CG	1.0	0.0
PD4005a	TT>GA	1.0	0.0
PD4005a	TT>GC	1.0	0.0
PD4005a	TT>GG	1.0	0.0
PD3851a	AC>CA	1.0	0.0
PD3851a	AC>CG	1.0	0.0
PD3851a	AC>CT	1.0	0.0
PD3851a	AC>GA	1.0	0.0
PD3851a	AC>GG	1.0	0.0
PD3851a	AC>GT	1.0	0.0
PD3851a	AC>TA	1.0	0.0
PD3851a	AC>TG	1.0	0.0
PD3851a	AC>TT	1.0	0.0
PD3851a	AT>CA	1.0	0.0
PD3851a	AT>CC	1.0	0.0
PD3851a	AT>CG	1.0	0.0
PD3851a	AT>GA	1.0	0.0
PD3851a	AT>GC	1.0	0.0
PD3851a	AT>TA	1.0	0.0
PD3851a	CC>AA	1.0	0.0
PD3851a	CC>AG	1.0	0.0
PD3851a	CC>AT	1.0	0.0
PD3851a	CC>GA	1.0	0.0
PD3851a	CC>GG	1.0	0.0
PD3851a	CC>GT	1.0	0.0
PD3851a	CC>TA	1.0	0.0
PD3851a	CC>TG	1.0	0.0
PD3851a	CC>TT	1.0	0.0
PD3851a	CG>AT	1.0	0.0
PD3851a	CG>GC	1.0	0.0
PD3851a	CG>GT	1.0	0.0
PD3851a	CG>TA	1.0	0.0
PD3851a	CG>TC	1.0	0.0
PD3851a	CG>TT	1.0	0.0
PD3851a	CT>AA	1.0	0.0
PD3851a	CT>AC	1.0	0.0
PD3851a	CT>AG	1.0	0.0
PD3851a	CT>GA	1.0	0.0
PD3851a	CT>GC	1.0	0.0
PD3851a	CT>GG	1.0	0.0
PD3851a	CT>TA	1.0	0.0
PD3851a	CT>TC	1.0	0.0
PD3851a	CT>TG	1.0	0.0
PD3851a	GC>AA	1.0	0.0
PD3851a	GC>AG	1.0	0.0
PD3851a	GC>AT	1.0	0.0
PD3851a	GC>CA	1.0	0.0
PD3851a	GC>CG	1.0	0.0
PD3851a	GC>TA	1.0	0.0
PD3851a	TA>AT	1.0	0.0
PD3851a	TA>CG	1.0	0.0
PD3851a	TA>CT	1.0	0.0
PD3851a	TA>GC	1.0	0.0
PD3851a	TA>GG	1.0	0.0
PD3851a	TA>GT	1.0	0.0
PD3851a	TC>AA	1.0	0.0
PD3851a	TC>AG	1.0	0.0
PD3851a	TC>AT	1.0	0.0
PD3851a	TC>CA	1.0	0.0
PD3851a	TC>CG	1.0	0.0
PD3851a	TC>CT	1.0	0.0
PD3851a	TC>GA	1.0	0.0
PD3851a	TC>GG	1.0	0.0
PD3851a	TC>GT	1.0	0.0
PD3851a	TG>AA	1.0	0.0
PD3851a	TG>AC	1.0	0.0
PD3851a	TG>AT	1.0	0.0
PD3851a	TG>CA	1.0	0.0
PD3851a	TG>CC	1.0	0.0
PD3851a	TG>CT	1.0	0.0
PD3851a	TG>GA	1.0	0.0
PD3851a	TG>GC	1.0	0.0
PD3851a	TG>GT	1.0	0.0
PD3851a	TT>AA	1.0	0.0
PD3851a	TT>AC	1.0	0.0
PD3851a	TT>AG	1.0	0.0
PD3851a	TT>CA	1.0	0.0
PD3851a	TT>CC	1.0	0.0
PD3851a	TT>CG	1.0	0.0
PD3851a	TT>GA	1.0	0.0
PD3851a	TT>GC	1.0	0.0
PD3851a	TT>GG	1.0	0.0
PD4116a	AC>CA	1.0	0.0
PD4116a	AC>CG	1.0	0.0
PD4116a	AC>CT	1.0	0.0
PD4116a	AC>GA	1.0	0.0
PD4116a	AC>GG	1.0	0.0
PD4116a	AC>GT	1.0	0.0
PD4116a	AC>TA	1.0	0.0
PD4116a	AC>TG	1.0	0.0
PD4116a	AC>TT	1.0	0.0
PD4116a	AT>CA	1.0	0.0
PD4116a	AT>CC	1.0	0.0
PD4116a	AT>CG	1.0	0.0
PD4116a	AT>GA	1.0	0.0
PD4116a	AT>GC	1.0	0.0
PD4116a	AT>TA	1.0	0.0
PD4116a	CC>AA	1.0	0.0
PD4116a	CC>AG	1.0	0.0
PD4116a	CC>AT	1.0	0.0
PD4116a	CC>GA	1.0	0.0
PD4116a	CC>GG	1.0	0.0
PD4116a	CC>GT	1.0	0.0
PD4116a	CC>TA	1.0	0.0
PD4116a	CC>TG	1.0	0.0
PD4116a	CC>TT	1.0	0.0
PD4116a	CG>AT	1.0	0.0
PD4116a	CG>GC	1.0	0.0
PD4116a	CG>GT	1.0	0.0
PD4116a	CG>TA	1.0	0.0
PD4116a	CG>TC	1.0	0.0
PD4116a	CG>TT	1.0	0.0
PD4116a	CT>AA	1.0	0.0
PD4116a	CT>AC	1.0	0.0
PD4116a	CT>AG	1.0	0.0
PD4116a	CT>GA	1.0	0.0
PD4116a	CT>GC	1.0	0.0
PD4116a	CT>GG	1.0	0.0
PD4116a	CT>TA	1.0	0.0
PD4116a	CT>TC	1.0	0.0
PD4116a	CT>TG	1.0	0.0
PD4116a	GC>AA	1.0	0.0
PD4116a	GC>AG	1.0	0.0
PD4116a	GC>AT	1.0	0.0
PD4116a	GC>CA	1.0	0.0
PD4116a	GC>CG	1.0	0.0
PD4116a	GC>TA	1.0	0.0
PD4116a	TA>AT	1.0	0.0
PD4116a	TA>CG	1.0	0.0
PD4116a	TA>CT	1.0	0.0
PD4116a	TA>GC	1.0	0.0
PD4116a	TA>GG	1.0	0.0
PD4116a	TA>GT	1.0	0.0
PD4116a	TC>AA	1.0	0.0
PD4116a	TC>AG	1.0	0.0
PD4116a	TC>AT	1.0	0.0
PD4116a	TC>CA	1.0	0.0
PD4116a	TC>CG	1.0	0.0
PD4116a	TC>CT	1.0	0.0
PD4116a	TC>GA	1.0	0.0
PD4116a	TC>GG	1.0	0.0
PD4116a	TC>GT	1.0	0.0
PD4116a	TG>AA	1.0	0.0
PD4116a	TG>AC	1.0	0.0
PD4116a	TG>AT	1.0	0.0
PD4116a	TG>CA	1.0	0.0
PD4116a	TG>CC	1.0	0.0
PD4116a	TG>CT	1.0	0.0
PD4116a	TG>GA	1.0	0.0
PD4116a	TG>GC	1.0	0.0
PD4116a	TG>GT	1.0	0.0
PD4116a	TT>AA	1.0	0.0
PD4116a	TT>AC	1.0	0.0
PD4116a	TT>AG	1.0	0.0
PD4116a	TT>CA	1.0	0.0
PD4116a	TT>CC	1.0	0.0
PD4116a	TT>CG	1.0	0.0
PD4116a	TT>GA	1.0	0.0
PD4116a	TT>GC	1.0	0.0
PD4116a	TT>GG	1.0	0.0
PD4086a	AC>CA	1.0	0.0
PD4086a	AC>CG	1.0	0.0
PD4086a	AC>CT	1.0	0.0
PD4086a	AC>GA	1.0	0.0
PD4086a	AC>GG	1.0	0.0
PD4086a	AC>GT	1.0	0.0
PD4086a	AC>TA	1.0	0.0
PD4086a	AC>TG	1.0	0.0
PD4086a	AC>TT	1.0	0.0
PD4086a	AT>CA	1.0	0.0
PD4086a	AT>CC	1.0	0.0
PD4086a	AT>CG	1.0	0.0
PD4086a	AT>GA	1.0	0.0
PD4086a	AT>GC	1.0	0.0
PD4086a	AT>TA	1.0	0.0
PD4086a	CC>AA	1.0	0.0
PD4086a	CC>AG	1.0	0.0
PD4086a	CC>AT	1.0	0.0
PD4086a	CC>GA	1.0	0.0
PD4086a	CC>GG	1.0	0.0
PD4086a	CC>GT	1.0	0.0
PD4086a	CC>TA	1.0	0.0
PD4086a	CC>TG	1.0	0.0
PD4086a	CC>TT	1.0	0.0
PD4086a	CG>AT	1.0	0.0
PD4086a	CG>GC	1.0	0.0
PD4086a	CG>GT	1.0	0.0
PD4086a	CG>TA	1.0	0.0
PD4086a	CG>TC	1.0	0.0
PD4086a	CG>TT	1.0	0.0
PD4086a	CT>AA	1.0	0.0
PD4086a	CT>AC	1.0	0.0
PD4086a	CT>AG	1.0	0.0
PD4086a	CT>GA	1.0	0.0
PD4086a	CT>GC	1.0	0.0
PD4086a	CT>GG	1.0	0.0
PD4086a	CT>TA	1.0	0.0
PD4086a	CT>TC	1.0	0.0
