MutationType	Signature A	Signature B	Signature C
AC>CA	0.009520740247726582	0.007374609651916123	0.0037989137486612035
AC>CG	7.062660847765283e-07	0.004889155952632807	0.005386897988982622
AC>CT	0.0028795989053047154	0.01239613984855397	1.6037383628291618e-06
AC>GA	0.01650597114700815	0.0014844217757311734	0.0015071312066236705
AC>GG	0.0008378169676982757	0.0009253399230079301	1.7550996663628691e-06
AC>GT	0.000801768023948599	0.00042480399145089937	1.9239405424585762e-06
AC>TA	0.005410277729102205	0.023014137182055944	1.5258872312771983e-06
AC>TG	0.003560095258434312	1.4715220356048637e-06	1.2044897393913671e-06
AC>TT	0.005401285610211957	0.01264966677324789	0.012835182039815209
AT>CA	0.0022380106214746373	0.011036994442951049	1.7111913461188417e-06
AT>CC	1.822477876961047e-06	2.5909749330166098e-06	2.465625284758807e-06
AT>CG	1.822477876961047e-06	2.5909749330166098e-06	2.465625284758807e-06
AT>GA	0.0043875045078919025	0.0013096471565134365	0.0028430623977825403
AT>GC	0.0005618932120086959	0.004632503127794003	1.8348746949069956e-06
AT>TA	0.002836192673963059	0.007161123040958006	1.2570520793474213e-06
CC>AA	0.22412127457725323	0.06904060449477979	0.027654803452483362
CC>AG	0.03848848459436843	0.04058407716950754	0.004551723376074356
CC>AT	0.0748017163763384	0.01641122881968713	0.026672755620211763
CC>GA	0.026498496607666025	0.017433254621690073	0.0005380504685727701
CC>GG	0.004067662982116329	0.007377314389129481	6.985204119831355e-07
CC>GT	0.005232338628580529	0.004932193621435957	0.04950246170014021
CC>TA	0.016710284381635337	0.0006260353829092783	0.05677394298603826
CC>TG	0.0013277783492434145	0.009383851519383358	0.014291109262847223
CC>TT	0.016626811948461582	0.011990346208230092	0.216786407513479
CG>AT	0.0004872070836014567	0.0020681680007922114	2.0213689675150337e-06
CG>GC	1.822477876961047e-06	2.5909749330166098e-06	2.465625284758807e-06
CG>GT	0.0014251589429287387	0.0014393715746039996	0.00043756110285865735
CG>TA	0.0010396289228325989	0.007125348923328097	0.0029622699278137334
CG>TC	1.822477876961047e-06	2.5909749330166098e-06	2.465625284758807e-06
CG>TT	1.822477876961047e-06	2.5909749330166098e-06	2.465625284758807e-06
CT>AA	0.024063544520841293	0.008643092745321702	0.028538698049893008
CT>AC	0.007315164581316846	0.0012231420353274675	1.1227646932133956e-06
CT>AG	0.008476953305494334	0.04308460576047121	1.2380913347553947e-06
CT>GA	0.0043557349954404705	0.009269673620428666	7.304452333218864e-07
CT>GC	0.00027880752944425087	0.00802484876913965	0.004201930121900896
CT>GG	0.000932608645352718	0.005310211337054819	0.006115568273839179
CT>TA	0.007558840508567073	0.005695309371615964	0.07237553779857496
CT>TC	0.004886598560717167	0.0020127014545865823	0.01098299525708051
CT>TG	0.0016507689843469218	0.014572474341292153	0.0012414857857814508
GC>AA	0.07028240975750802	0.016520176489170067	0.021110083425886342
GC>AG	0.034273124303792896	0.006317324495249166	0.027656039366404442
GC>AT	0.015875452184396607	0.014886848619011333	0.003919467715862627
GC>CA	0.0013509443841054386	0.024040344365629282	0.005093005038652695
GC>CG	1.822477876961047e-06	2.5909749330166098e-06	2.465625284758807e-06
GC>TA	0.001459377194568966	0.003804743343301041	0.006666215991047384
TA>AT	0.007079377515974446	0.011616603932518923	0.004432239075891632
TA>CG	0.00027652653017914833	0.007637669156971429	1.0868198696084258e-06
TA>CT	0.003748043006346258	0.03858780548169789	0.0012937363805526282
TA>GC	1.822477876961047e-06	2.5909749330166098e-06	2.465625284758807e-06
TA>GG	0.0011317639910261657	0.003265144452237101	1.3135924088312879e-06
TA>GT	0.010416932439296202	1.5752729295018312e-06	0.0014813578539846755
TC>AA	0.059966557960317204	0.16787316243034267	0.007773614281551171
TC>AG	0.0053068674752370145	0.01247140565292915	0.041506191474946844
TC>AT	0.039812815500464796	0.02058448664031421	0.1665057437859603
TC>CA	0.026174564213247247	0.03767779918613294	0.006541014526517296
TC>CG	0.0009646530360212744	0.007884973067810488	0.0015493309728786863
TC>CT	0.015534378360903645	0.012094736178763124	0.030262377076517126
TC>GA	0.02430400682841539	0.01573942765528777	0.0002638717540771436
TC>GG	0.0033714277277393247	0.0025456303211374705	0.01055978673692876
TC>GT	0.00390364952521188	0.00616403609412518	0.01749513100527951
TG>AA	0.007386878682831539	0.005066590687743908	4.036978788753615e-07
TG>AC	0.0019567851470191147	1.7865371261063121e-06	2.041259149049949e-06
TG>AT	0.028039443341011678	0.033531095153740746	0.0018020741989740908
TG>CA	0.023610343413262902	0.02891847980154538	0.0239268128623212
TG>CC	0.0066741306556511336	0.006778348994015189	0.02356083340830727
TG>CT	0.052252189690303305	0.07206040700077737	1.451048716415502e-07
TG>GA	0.003173899844261486	0.008300115815597038	1.3445545508181801e-06
TG>GC	0.0005313361910711489	0.013093946303957875	0.00129051609872728
TG>GT	0.00718263630807489	0.010071712878827606	0.015433109617849276
TT>AA	0.009478346137639945	0.019105003721349333	0.01375585324842516
TT>AC	1.2662610158050343e-06	0.0035199801279830246	1.8539176851263215e-06
TT>AG	0.004289991614849149	0.004490229126922579	0.0008593644958581661
TT>CA	6.522412391421717e-07	0.0026921378752336527	0.006064252560211657
TT>CC	0.001833904794505112	1.2485342160511146e-06	0.007011032123653744
TT>CG	1.643825215711131e-06	0.005119821142767475	0.002138484922684491
TT>GA	1.8224778769610469e-06	2.59097493301661e-06	2.4656252847588064e-06
TT>GC	0.0002766267713912514	0.003965197837970837	2.3358571915140526e-06
TT>GG	0.002774747125484133	1.4092756387405032e-06	1.0946504067665732e-06
