Samples	Signature A	Signature B	Signature C
PD4199a	1.04E+00	1.68E+00	1.72E+00
PD4005a	5.15E+00	1.39E+00	5.73E+00
PD3851a	1.22E+00	1.22E+00	0.00E+00
PD4116a	7.07E+00	4.34E+00	3.62E+00
PD4086a	8.66E-01	6.39E-01	5.81E-01
PD4194a	1.02E+00	1.21E+00	1.32E+00
PD4248a	2.15E+00	1.25E+00	2.19E+00
PD4120a	0.00E+00	0.00E+00	0.00E+00
PD4198a	1.60E+00	1.55E+00	3.75E-01
PD3904a	6.19E+00	2.59E+00	5.78E+00
PD3945a	1.27E+01	3.05E+00	1.08E+01
PD4107a	3.44E+00	3.44E+00	0.00E+00
PD3905a	2.93E+00	1.61E+00	2.75E+00
PD4192a	3.39E+00	0.00E+00	3.39E+00
PD4109a	4.50E+00	1.81E+00	4.46E+00
PD4103a	3.10E+00	1.49E+00	2.40E+00
PD4115a	7.21E+00	1.25E-01	7.22E+00
PD4085a	1.08E+00	1.08E+00	0.00E+00
PD3890a	3.07E+00	4.34E+00	4.09E+00
PD4006a	1.37E+00	6.25E-01	8.75E-01
PD4088a	3.75E-01	3.66E-01	4.41E-01
