MutationType	Signature A	Signature B	Signature C
AC>CA	3.63E-03	3.80E-03	2.73E-03
AC>CG	2.18E-07	1.87E-03	1.18E-03
AC>CT	1.33E-03	4.81E-07	2.67E-03
AC>GA	2.54E-03	1.51E-03	1.17E-03
AC>GG	5.83E-04	2.18E-07	6.05E-04
AC>GT	3.92E-04	3.09E-07	4.21E-04
AC>TA	1.50E-03	6.47E-07	3.33E-03
AC>TG	7.44E-04	3.06E-07	2.57E-07
AC>TT	2.21E-03	1.63E-03	3.26E-03
AT>CA	1.97E-03	3.78E-07	3.45E-03
AT>CC	1.47E-07	1.76E-07	2.52E-07
AT>CG	1.47E-07	1.76E-07	2.52E-07
AT>GA	1.50E-03	1.76E-03	8.70E-04
AT>GC	3.67E-04	4.26E-07	2.16E-03
AT>TA	1.19E-03	3.98E-07	2.75E-03
CC>AA	1.54E-02	6.20E-03	1.54E-02
CC>AG	2.89E-03	1.36E-03	4.23E-03
CC>AT	4.64E-03	4.54E-03	7.02E-03
CC>GA	2.55E-03	5.38E-04	6.07E-03
CC>GG	1.31E-03	1.25E-07	2.22E-03
CC>GT	2.56E-03	5.91E-03	2.83E-03
CC>TA	3.67E-03	7.91E-03	6.24E-04
CC>TG	6.58E-04	3.03E-03	3.36E-03
CC>TT	3.40E-03	1.30E-02	5.25E-03
CG>AT	4.82E-04	1.99E-07	1.07E-03
CG>GC	1.47E-07	1.76E-07	2.52E-07
CG>GT	7.45E-04	4.29E-04	1.01E-03
CG>TA	6.84E-04	1.25E-03	2.25E-03
CG>TC	1.47E-07	1.76E-07	2.52E-07
CG>TT	1.47E-07	1.76E-07	2.52E-07
CT>AA	3.10E-03	3.93E-03	3.03E-03
CT>AC	1.37E-03	3.21E-07	6.92E-04
CT>AG	2.10E-03	6.53E-07	2.16E-03
CT>GA	1.50E-03	1.92E-07	2.27E-03
CT>GC	2.75E-04	2.76E-03	2.31E-03
CT>GG	6.48E-04	2.02E-03	1.95E-03
CT>TA	3.28E-03	1.11E-02	3.95E-03
CT>TC	1.84E-03	3.92E-03	1.76E-03
CT>TG	1.65E-03	7.42E-04	3.19E-03
GC>AA	7.58E-03	5.41E-03	5.57E-03
GC>AG	2.98E-03	5.64E-03	4.25E-03
GC>AT	4.11E-03	2.65E-03	5.81E-03
GC>CA	7.61E-04	2.13E-03	2.82E-03
GC>CG	1.47E-07	1.76E-07	2.52E-07
GC>TA	8.02E-04	2.06E-03	1.30E-03
TA>AT	1.49E-03	2.15E-03	3.32E-03
TA>CG	2.76E-04	1.22E-07	1.29E-03
TA>CT	1.20E-03	1.29E-03	3.93E-03
TA>GC	1.47E-07	1.76E-07	2.52E-07
TA>GG	8.60E-04	1.70E-07	1.40E-03
TA>GT	1.58E-03	9.80E-04	6.90E-07
TC>AA	7.52E-03	2.63E-03	1.52E-02
TC>AG	2.19E-03	9.09E-03	4.53E-03
TC>AT	6.70E-03	1.19E-02	7.05E-03
TC>CA	4.92E-03	3.11E-03	8.67E-03
TC>CG	4.87E-04	7.62E-04	1.32E-03
TC>CT	2.80E-03	7.39E-03	2.76E-03
TC>GA	3.31E-03	2.64E-04	5.75E-03
TC>GG	9.16E-04	2.90E-03	1.24E-03
TC>GT	2.04E-03	5.06E-03	1.54E-03
TG>AA	1.01E-03	1.42E-07	1.95E-03
TG>AC	6.47E-04	4.51E-07	4.01E-07
TG>AT	4.25E-03	1.80E-03	7.43E-03
TG>CA	4.03E-03	5.41E-03	7.11E-03
TG>CC	2.01E-03	4.85E-03	3.59E-03
TG>CT	5.79E-03	1.10E-07	8.03E-03
TG>GA	1.70E-03	2.12E-07	2.83E-03
TG>GC	5.31E-04	1.29E-03	3.38E-03
TG>GT	3.04E-03	2.23E-03	2.70E-03
TT>AA	3.19E-03	4.15E-03	3.75E-03
TT>AC	1.76E-07	2.84E-07	1.53E-03
TT>AG	1.53E-03	8.58E-04	2.29E-03
TT>CA	1.68E-07	2.50E-03	8.84E-04
TT>CC	7.89E-04	2.40E-03	4.11E-07
TT>CG	6.68E-07	1.70E-03	1.83E-03
TT>GA	1.47E-07	1.76E-07	2.52E-07
TT>GC	2.76E-04	2.31E-07	1.39E-03
TT>GG	5.78E-04	2.28E-07	1.35E-07
