MutationType	Signature A	Signature B	Signature C	Signature D
AC>CA	0.012193058421461102	0.005648172156133799	5.842218330213204e-07	0.010120402080067849
AC>CG	7.561776290680036e-07	0.004556177709864516	0.006076759215991618	0.0013234774339270826
AC>CT	0.002089802891569791	0.013614694795945197	9.50348519677229e-07	0.004041589354888285
AC>GA	0.01729584812217777	4.020046749450833e-06	0.0008522679645923108	0.01351849155578064
AC>GG	1.4253646809511114e-06	0.000631892145570538	1.3784342204577856e-06	0.003387781999432133
AC>GT	0.0013254662355514017	2.9021098487092002e-06	1.3907191116931237e-06	0.0007756631720378012
AC>TA	0.005375376519212632	0.015890661342845433	4.4242554774013455e-07	0.015998160898241555
AC>TG	0.001779797677690481	1.5202130429501744e-06	1.1214197855238349e-06	0.00547985475452428
AC>TT	0.0019231672974998194	0.017960901988925193	0.012706149524123364	0.007330129097455127
AT>CA	0.0003673115442370621	0.007820007368376635	1.0182807618116927e-06	0.01270407328037967
AT>CC	1.7624689979692896e-06	2.0383555781462528e-06	1.7319879560460047e-06	4.065142575320474e-06
AT>CG	1.7624689979692896e-06	2.0383555781462528e-06	1.7319879560460047e-06	4.065142575320474e-06
AT>GA	0.002984018465676512	0.0030165362467812103	0.003010767675763234	0.005904298480226972
AT>GC	0.0004249142231995438	0.002329705690049767	1.1022385800298355e-06	0.004860398152399279
AT>TA	0.003722309001142094	0.007119082716082384	9.469239212148889e-07	0.001464021781254202
CC>AA	0.2689950800954125	0.0701752738513402	0.029889490948726984	0.07188505989014446
CC>AG	0.050493073202141116	0.041011263517601204	0.004792969787322987	0.011620842316448464
CC>AT	0.08372039071930577	0.021679540050428683	0.022851559341356822	0.03264532826242012
CC>GA	0.024289267935104792	0.012235497584627542	1.3045797983805794e-07	0.03334435352960888
CC>GG	0.0019716768684158023	0.0031075544646236293	7.242222547927393e-07	0.011911941443592452
CC>GT	0.00963032962735329	0.0027184397282227508	0.043345283048360564	0.01950290923305856
CC>TA	0.019381475935382413	1.0027022325659321e-06	0.060829128168365894	0.010226172070304528
CC>TG	0.002352668908484316	0.006370963722351931	0.013745506998457906	0.007085600571045209
CC>TT	0.011620623380914005	0.02137372205123291	0.2568979453980095	0.0012850173012750779
CG>AT	1.4001200627857985e-06	0.002187792433575717	1.5727996162358803e-06	0.0016125840801486126
CG>GC	1.7624689979692896e-06	2.0383555781462528e-06	1.7319879560460047e-06	4.065142575320474e-06
CG>GT	0.0029262559971041852	1.471872547213318e-06	1.324608604310127e-06	0.001794848143432436
