MutationType	Signature A	Signature B	Signature C	Signature D
CG>TA	0.00038752799963789956	0.0037719175808051883	0.000541399315530048	0.011982469090708301
CG>TC	1.7624689979692896e-06	2.0383555781462528e-06	1.7319879560460047e-06	4.065142575320474e-06
CG>TT	1.7624689979692896e-06	2.0383555781462528e-06	1.7319879560460047e-06	4.065142575320474e-06
CT>AA	0.028985749254231422	0.007676737727378007	0.02399273302224157	0.016989726977290676
CT>AC	0.008469394799317862	0.0014877154033138833	1.006469527034597e-06	0.0013720896109772748
CT>AG	0.006986795384731157	0.04321153923632022	7.766039998001202e-07	0.01616201971174267
CT>GA	0.002762242292761302	0.0090821221427605	8.586901169423007e-07	0.008065734527917583
CT>GC	0.0005984137538050264	0.007698826582261719	0.003874319076192424	0.002199991305369704
CT>GG	9.83696096869029e-07	0.0023094241641843766	0.005812562580474145	0.008502415760198624
CT>TA	0.006659805935073291	0.015094628008938715	0.07254337612112782	0.007801888164789205
CT>TC	0.00882107572830848	0.00017735374431385967	0.009982813123081215	0.0034529118082513716
CT>TG	3.102934944827981e-07	0.011167395780922934	0.00028260607617860544	0.012394601075681778
GC>AA	0.07185809195695711	0.017835715645736813	0.022499271070586156	0.051247405596739376
GC>AG	0.03050187248952188	0.011188263217034235	0.024103569409639532	0.03388176734045781
GC>AT	0.014283326501546722	0.008553765853350713	0.001426344436167386	0.03319506348045219
GC>CA	0.0005758626137531802	0.019746717080378312	0.005028868345552644	0.01675214582444855
GC>CG	1.7624689979692896e-06	2.0383555781462528e-06	1.7319879560460047e-06	4.065142575320474e-06
GC>TA	0.0032828444859030344	0.0042119148492031615	0.0011292228694642762	0.004389017095777061
TA>AT	0.0010032175232377325	0.009283297070284458	0.0037049023758042024	0.024821862322201117
TA>CG	9.57867238393209e-07	0.00469820071977561	8.155210108277482e-07	0.006870934347254725
TA>CT	0.0035534297877223547	0.0370194209240666	9.887347093427294e-07	0.011485973156191166
TA>GC	1.7624689979692896e-06	2.0383555781462528e-06	1.7319879560460047e-06	4.065142575320474e-06
TA>GG	1.0540546056841025e-06	0.0010982837554215253	1.3006434079801384e-06	0.0063089003994259985
TA>GT	0.004591068182148501	0.0028053135212183977	1.1170781109792839e-06	0.013506396436415005
TC>AA	0.046197285364758076	0.2012716888368361	0.008371829285824119	0.04562376706823895
TC>AG	0.007866317762002643	0.009448696565055596	0.0425165989906936	0.007636905165833392
TC>AT	0.033965180385185575	0.0388771005788511	0.17127130946439162	0.03769173354736031
TC>CA	0.026374937681616237	0.04869751812114953	0.0059854702207539565	0.009048172914117006
TC>CG	0.0011953726864770142	0.006572811275833979	0.0012654002114450616	0.0035142485082200157
TC>CT	0.015668461248471606	0.011484896200371138	0.029636827976449724	0.016534016594756857
TC>GA	0.019580970949405432	0.021480629382978657	6.383933833874434e-07	0.024158342449690298
TC>GG	0.00301795903665276	0.0022884242684263778	0.01254136073016545	0.0028196368344602547
TC>GT	0.004022891676521631	0.002505378620491425	0.016258571365270834	0.014085487627965137
TG>AA	0.00799644193878071	0.006146682525494945	4.4157056453432213e-07	0.0020742829311003403
TG>AC	0.0019152436163811966	1.4905989929047577e-06	1.9927414342816746e-06	0.0015478849002204282
TG>AT	0.027439066219551195	0.033248526134172	1.0313493586047469e-07	0.02369842939495561
TG>CA	0.01591178874609011	0.02667789872363821	0.01938238396786348	0.048238151653204844
TG>CC	0.005073149498123324	0.003710664947654024	0.015941881664706396	0.027052469388240324
TG>CT	0.034070394381092176	0.057713621092007485	3.428812101388157e-08	0.09313847947435944
TG>GA	0.001993962334644529	0.008689675138856469	1.0641806675088849e-06	0.005306624161707557
TG>GC	0.0009968711615211646	0.009401644603028782	1.6727387500411629e-06	0.008099535838855705
TG>GT	0.00991344841850281	0.010437548545150766	0.01350980116049098	0.005721809103480071
TT>AA	0.008484055840943359	0.01138686186950593	0.015938113262186047	0.02270488661829611
TT>AC	1.2945095812284757e-06	0.0036587212038514377	1.3532007173294714e-06	3.456045368483066e-06
TT>AG	0.004659953663213602	0.0036284186392467237	1.6589893504307864e-06	0.005259111014150195
TT>CA	8.628334141771479e-07	0.002363260200345573	0.007432617366081341	0.0006628644710643185
TT>CC	0.002072542647211113	9.201611122897941e-07	0.008114907470003707	0.0015473059068772726
TT>CG	0.0004992528994150681	1.091751329504549e-06	0.0018680026382493615	0.008723780898214233
TT>GA	1.7624689979692896e-06	2.0383555781462528e-06	1.7319879560460045e-06	4.065142575320474e-06
TT>GC	0.0003484633683094375	0.0027107043418899395	1.7864204804778978e-06	0.0019670268035413955
TT>GG	0.002530212048648536	1.4693124345790242e-06	9.559286406408513e-07	0.0019027566307349896
