Samples	Signature A	Signature B	Signature C	Signature D	Signature E
PD4199a	1.81E+00	1.84E+00	1.64E-01	8.85E-01	1.82E+00
PD4005a	3.83E+00	6.91E+00	4.12E+00	7.70E+00	6.20E-01
PD3851a	0.00E+00	1.70E+00	1.56E+00	0.00E+00	1.31E+00
PD4116a	0.00E+00	5.63E+00	5.46E+00	0.00E+00	2.74E+00
PD4086a	0.00E+00	9.25E-01	5.15E-01	9.40E-01	5.00E-01
PD4194a	0.00E+00	1.28E+00	0.00E+00	1.24E+00	2.50E-01
PD4248a	2.12E+00	2.59E+00	2.50E-01	2.29E+00	0.00E+00
PD4120a	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4198a	0.00E+00	2.03E+00	1.25E-01	1.89E+00	1.80E+00
PD3904a	4.02E+00	4.13E+00	6.06E+00	8.27E+00	1.66E+00
PD3945a	1.38E+01	1.10E+01	1.11E+01	0.00E+00	3.49E+00
PD4107a	0.00E+00	2.38E+00	1.08E+01	1.17E+01	3.38E+00
PD3905a	9.77E-01	4.09E+00	5.06E+00	4.12E+00	3.75E-01
PD4192a	3.20E+00	3.97E+00	4.20E-01	3.28E+00	0.00E+00
PD4109a	4.38E+00	3.84E+00	7.50E-01	6.52E+00	1.42E+00
PD4103a	2.77E+00	3.16E+00	0.00E+00	0.00E+00	1.59E+00
PD4115a	1.11E+01	0.00E+00	6.80E+00	7.01E+00	0.00E+00
PD4085a	4.20E-01	1.16E+00	7.30E-01	8.22E-01	5.98E-01
PD3890a	5.24E+00	5.18E+00	1.66E+00	5.77E+00	1.15E+00
PD4006a	2.75E+00	9.50E+00	6.33E+00	4.60E+00	6.81E-01
PD4088a	8.00E-01	7.30E-01	0.00E+00	2.50E-01	2.63E-01
