MutationType	Signature A	Signature B	Signature C	Signature D	Signature E
AC>CA	0.007990162738974285	0.007220333188861668	7.635450866296499e-07	0.013980984127767066	0.010959380381315768
AC>CG	8.684738953066396e-07	0.00699174146599236	0.006649407711536558	2.139950122350908e-06	1.6873723171290277e-06
AC>CT	0.0014444987450693669	0.00942767262607337	7.44355214323353e-07	0.01208383818904162	0.004746222255506122
AC>GA	0.020862002423153062	0.0017690356349930464	2.81479125511317e-07	0.001752464127793481	0.013887909618766906
AC>GG	9.700889228571902e-07	0.0007750565178057431	1.3578869026843932e-06	3.0058060754221225e-06	0.003638012250327493
AC>GT	0.00043579298922874124	0.0006306161189368667	1.3735094568765837e-06	0.0006071342917674238	0.0007656369817715065
AC>TA	0.0050049984055713604	0.022286830328265218	5.173866958664604e-07	0.011281089229162987	0.01049679028087783
AC>TG	0.000383276141159831	2.0451022619379363e-06	1.1343590151632848e-06	0.004610841034831192	0.006545482121942758
AC>TT	0.0008604732891248103	0.011361381391416901	0.012289205441338545	0.019967173075099834	0.008900879095273713
AT>CA	0.000784039820384193	0.007542848543734985	8.157137495518442e-07	0.001622497154750538	0.0161212608626635
AT>CC	1.254865033131474e-06	2.0121139504492525e-06	1.6335045609024337e-06	3.480052824976849e-06	3.876761022079042e-06
AT>CG	1.254865033131474e-06	2.0121139504492525e-06	1.6335045609024337e-06	3.480052824976849e-06	3.876761022079042e-06
AT>GA	0.004584559991569725	0.004634885367429912	2.1368966774806035e-06	0.00427932937770777	0.003250229082750018
AT>GC	1.1481893844255387e-06	0.005524191177988498	1.1126977803460197e-06	0.003226681539551198	0.0008204501946763346
AT>TA	0.002458459471229406	0.010061004844827644	9.930492287457364e-07	0.001213743710132406	0.0020974536882331957
CC>AA	0.29569968484538117	0.06995254971723133	0.029261814692207753	0.07893805157267601	0.07039371539145697
CC>AG	0.033709320481844454	0.03582672966707433	0.004720083156575865	0.045468367696377694	0.029522630015365675
CC>AT	0.08887827490467042	0.017700957081310784	0.02251012265859138	0.04034798627252738	0.032557654214490056
CC>GA	0.0188027388708504	0.015906472882839053	1.7276357745568639e-07	0.02958357133690885	0.02522216420770948
CC>GG	0.0007600674508505299	0.0075250085044887925	7.759742779990124e-07	0.004468344625096458	0.010826772299896795
CC>GT	0.0033974914747193245	0.0008417255187537217	0.040120257490415354	0.022140098606436936	0.02315573089487562
CC>TA	0.022731645900374256	1.8272746722119335e-06	0.062489775888179326	0.004797035410035749	0.014978083922311687
CC>TG	0.002604514776574747	0.007148830895017654	0.013053328250575315	0.007907738866159131	0.004421232393083519
CC>TT	0.013460949351509098	0.019240321417385443	0.26352484973001367	0.020450329030057682	0.0031684017209478435
CG>AT	0.0015201878091710597	0.0027294334098497694	1.5106156408087904e-06	2.8528624929598943e-06	3.54563004497878e-06
CG>GC	1.254865033131474e-06	2.0121139504492525e-06	1.6335045609024337e-06	3.480052824976849e-06	3.876761022079042e-06
CG>GT	0.0013106070204400534	1.4589621451962412e-06	1.1858502637402183e-06	0.0012109117446978213	0.003730489082952929
CG>TA	5.197635859760158e-07	0.0057220340755524774	0.0005683151398798593	0.003878008628601216	0.010648749769293805
CG>TC	1.254865033131474e-06	2.0121139504492525e-06	1.6335045609024337e-06	3.480052824976849e-06	3.876761022079042e-06
CG>TT	1.254865033131474e-06	2.0121139504492525e-06	1.6335045609024337e-06	3.480052824976849e-06	3.876761022079042e-06
CT>AA	0.031186034359372138	0.006981285977773172	0.023864102424647562	0.009887151518698022	0.02981083116448719
CT>AC	0.011693255806379086	0.0009521495340660237	8.69525017723714e-07	0.0008216284477224697	0.0005116403759172733
CT>AG	0.008535049320141723	0.057388166202992696	7.161473093689825e-07	0.014251757847001771	9.78715389232942e-07
CT>GA	0.00482999214582555	0.011939366661654434	7.617057895099486e-07	0.0033455523555783843	0.0011776149669260876
CT>GC	7.527940140116905e-07	0.007155760647637074	0.0022022455092477436	0.006128092360030211	0.002021842402409417
