MutationType	Signature A	Signature B	Signature C	Signature D	Signature E
CT>GG	0.0005397179667754033	0.005465827861261734	0.00581308203523872	0.003402795965526067	0.004128501730706163
CT>TA	0.011741430058887477	0.0026177635061079728	0.07231356039408837	0.014201232943743768	0.01576608725407441
CT>TC	0.009319892514164728	0.0003566097938167344	0.009318367796961886	0.004840314724345786	0.001313397078886185
CT>TG	1.9616615976438022e-07	0.009137709941690936	8.60684321559839e-06	0.01025843700168615	0.010966340230936565
GC>AA	0.06623018700015737	0.022652631896571393	0.02132742230550955	0.013046052324550972	0.07907931319098761
GC>AG	0.03312889714943193	0.011766101529868844	0.02528084593365829	0.008233368599760602	0.04827927561791345
GC>AT	0.00680808688603068	4.474404950125287e-07	5.35051989918747e-07	0.04813838282160916	0.0200243798998982
GC>CA	5.084047054117166e-07	0.02538610138793708	0.005155064985615918	0.002659019136318417	0.017707318234169957
GC>CG	1.254865033131474e-06	2.0121139504492525e-06	1.6335045609024337e-06	3.480052824976849e-06	3.876761022079042e-06
GC>TA	0.002508506576022632	0.004488498404335238	0.0012808101832827725	0.003673131312697241	0.005679050450022956
TA>AT	0.0007008749645926741	0.00929750043125805	0.003400676007571847	0.008911813395991171	0.025839216819969615
TA>CG	7.918292661919067e-07	0.006996126756100136	8.336580415899058e-07	0.004734109365851442	0.0018813096000629907
TA>CT	0.0006798578859868265	0.026558737225119373	7.460881863876448e-07	0.035206539033660555	0.015511815659681745
TA>GC	1.254865033131474e-06	2.0121139504492525e-06	1.6335045609024337e-06	3.480052824976849e-06	3.876761022079042e-06
TA>GG	7.259890382591321e-07	0.0031791063422389287	1.0990796211553989e-06	0.0016235460759774095	0.0047406506985484985
TA>GT	0.0023976871121225264	5.442006541662603e-07	8.457699694888285e-07	0.01079312927514937	0.021617853282396376
TC>AA	0.05617974675422711	0.2020672550592739	0.008050150221549802	0.047192325682313074	0.08141786117754846
TC>AG	0.00904230428073121	0.004391883484126312	0.04210275105000668	0.01584282783564259	0.012368051555158027
TC>AT	0.04093370728997582	0.029258518155343916	0.1740898841112944	0.05439259386848059	0.0401050989504718
TC>CA	0.02916012445035951	0.04552386087880676	0.006174853350040378	0.024993767775114056	0.011463654183551802
TC>CG	0.001376117376846848	0.010062933014455289	0.0009406682687099239	0.002339343065188311	2.4463459022765317e-06
TC>CT	0.017380186865985723	0.01165980561071529	0.02994420954765244	0.008367021226003003	0.02289657620282931
TC>GA	0.025853596141781503	0.026069320700584885	6.075237502968809e-07	0.0055137980964182	0.013654391239172486
TC>GG	0.0024797804050576485	0.004569839337955668	0.013103281311323437	0.0015203489258754509	0.0028437020736570874
TC>GT	0.003971183226473484	0.004636804320571107	0.016302350954873326	0.006505214650869803	0.010793537123416384
TG>AA	0.01088956627658404	0.0069376483786737445	4.2653852003789243e-07	0.0005318274874233435	0.0008841396478454875
TG>AC	0.0020876091121736122	1.4050372489575942e-06	1.5819323349805785e-06	0.0017435807049484742	3.261801084651647e-06
TG>AT	0.02955820253085436	0.03165743450930559	5.5881316774341656e-08	0.023069912638988024	0.031714006483934756
TG>CA	0.013964281335129206	0.022517782687419483	0.020254783413044066	0.039332410460436396	0.04196416204878356
TG>CC	0.0005753918368907515	0.002488579884055487	0.020076517825247154	0.02506405704380159	0.017818517481342448
TG>CT	0.020384731355756823	0.05564691074279386	2.6641917336517943e-08	0.12729793952273827	0.049430922444181846
TG>GA	1.2371269300967613e-06	0.0056684363941909705	1.2074695630321511e-06	0.015403306875152059	0.002295415198293388
TG>GC	2.839747562296412e-07	0.012180301138918728	1.4691342089842278e-06	0.0037961293998606837	0.007981248455645405
TG>GT	0.006808510315468504	0.00926023978841891	0.011737744117509115	0.02023991051071062	0.005112739030479266
TT>AA	0.009695667354134777	0.01900472958731385	0.015704223493678487	0.009990004241458718	0.010826734212529644
TT>AC	1.0132202323763825e-06	0.004564517616190693	1.415874860210141e-06	3.1138400627910208e-06	2.966178212727381e-06
TT>AG	8.348386044976893e-07	0.0046113906657686944	1.2944318511221687e-06	0.007186315198467294	0.009116791320510204
TT>CA	6.942338778685533e-07	0.003553498374747849	0.007889696049179893	2.345753646452131e-06	2.055969656740026e-06
TT>CC	0.0008880755071182141	1.3055003284869353e-06	0.008430814319985247	0.0035548261552581116	2.5300896340115806e-06
TT>CG	7.805976028491613e-07	1.2793183196057792e-06	1.033186943276139e-06	0.01006947310855777	0.0032155577630344676
TT>GA	1.254865033131474e-06	2.012113950449252e-06	1.6335045609024335e-06	3.480052824976849e-06	3.876761022079042e-06
TT>GC	8.317626256022147e-07	0.0005007415969103154	1.609789482750374e-06	0.005258057721186185	0.0023956356532735842
TT>GG	0.0007658045628429604	2.0538494701968833e-06	1.047837699496008e-06	0.002781435017028237	0.004739002179437949
