MutationType	Signature A	Signature B	Signature C	Signature D	Signature E
AC>CA	3.69E-03	7.83E-03	2.56E-03	6.55E-03	1.55E-07
AC>CG	1.76E-03	3.98E-07	2.54E-07	3.55E-07	2.32E-03
AC>CT	3.36E-03	1.78E-03	9.69E-04	3.63E-03	1.71E-07
AC>GA	1.71E-03	6.62E-03	3.97E-03	1.75E-03	1.26E-07
AC>GG	7.74E-04	1.82E-03	1.89E-07	2.57E-07	1.67E-07
AC>GT	6.28E-04	7.62E-04	4.35E-04	6.04E-04	2.16E-07
AC>TA	7.60E-03	5.95E-03	1.82E-03	6.79E-03	1.12E-07
AC>TG	8.46E-07	2.63E-03	3.82E-04	3.09E-03	1.91E-07
AC>TT	3.54E-03	3.89E-03	5.80E-04	7.51E-03	1.42E-03
AT>CA	1.99E-03	8.02E-03	7.83E-04	1.07E-03	2.54E-07
AT>CC	2.31E-07	5.15E-07	1.38E-07	3.09E-07	1.74E-07
AT>CG	2.31E-07	5.15E-07	1.38E-07	3.09E-07	1.74E-07
AT>GA	2.33E-03	3.22E-03	2.95E-03	2.19E-03	1.04E-06
AT>GC	3.68E-03	8.15E-04	2.99E-07	1.23E-03	1.91E-07
AT>TA	3.71E-03	1.54E-03	1.34E-03	1.21E-03	2.09E-07
CC>AA	1.75E-02	2.34E-02	2.39E-02	2.50E-02	6.10E-03
CC>AG	4.79E-03	1.38E-02	3.28E-03	7.78E-03	1.41E-03
CC>AT	8.49E-03	7.84E-03	8.66E-03	1.46E-02	3.62E-03
CC>GA	4.19E-03	8.16E-03	6.42E-03	1.34E-02	1.09E-07
CC>GG	3.87E-03	5.92E-03	7.60E-04	2.41E-03	6.83E-08
CC>GT	8.41E-04	1.04E-02	1.82E-03	5.17E-03	8.47E-03
CC>TA	1.75E-06	7.28E-03	6.91E-03	2.58E-03	6.18E-03
CC>TG	2.96E-03	3.02E-03	9.16E-04	5.95E-03	3.02E-03
CC>TT	6.38E-03	1.56E-03	4.78E-03	7.91E-03	1.37E-02
CG>AT	1.81E-03	5.26E-07	1.12E-03	4.30E-07	2.36E-07
CG>GC	2.31E-07	5.15E-07	1.38E-07	3.09E-07	1.74E-07
CG>GT	3.00E-07	1.89E-03	9.51E-04	1.21E-03	1.60E-07
CG>TA	3.04E-03	4.35E-03	1.58E-07	2.02E-03	5.68E-04
CG>TC	2.31E-07	5.15E-07	1.38E-07	3.09E-07	1.74E-07
CG>TT	2.31E-07	5.15E-07	1.38E-07	3.09E-07	1.74E-07
CT>AA	2.58E-03	1.30E-02	8.01E-03	2.81E-03	4.19E-03
CT>AC	6.51E-04	5.07E-04	2.33E-03	8.20E-04	2.19E-07
CT>AG	5.03E-03	6.20E-07	3.79E-03	5.47E-03	1.71E-07
CT>GA	3.59E-03	1.18E-03	2.11E-03	2.72E-03	1.30E-07
CT>GC	3.68E-03	1.35E-03	2.65E-07	2.92E-03	2.20E-03
CT>GG	2.33E-03	3.44E-03	5.39E-04	1.81E-03	2.01E-03
CT>TA	1.77E-03	9.07E-03	3.65E-03	8.85E-03	9.83E-03
CT>TC	3.55E-04	8.63E-04	3.24E-03	3.57E-03	2.70E-03
CT>TG	2.88E-03	5.61E-03	1.34E-07	6.03E-03	6.53E-06
GC>AA	6.82E-03	1.84E-02	1.03E-02	6.77E-03	5.09E-03
GC>AG	6.19E-03	1.20E-02	4.61E-03	8.23E-03	6.02E-03
GC>AT	2.72E-07	1.26E-02	2.69E-03	1.15E-02	1.09E-07
GC>CA	4.13E-03	9.29E-03	4.71E-07	1.98E-03	2.29E-03
GC>CG	2.31E-07	5.15E-07	1.38E-07	3.09E-07	1.74E-07
GC>TA	1.63E-03	3.20E-03	1.00E-03	2.67E-03	1.28E-03
TA>AT	3.60E-03	3.92E-03	7.00E-04	6.12E-03	1.30E-03
TA>CG	2.14E-03	1.26E-03	1.96E-07	3.66E-03	1.27E-07
TA>CT	9.10E-03	8.01E-03	6.79E-04	1.30E-02	1.54E-07
TA>GC	2.31E-07	5.15E-07	1.38E-07	3.09E-07	1.74E-07
TA>GG	2.42E-03	2.96E-03	1.83E-07	1.07E-03	1.75E-07
TA>GT	1.81E-07	6.73E-03	9.53E-04	4.33E-03	2.02E-07
TC>AA	2.46E-02	2.37E-02	1.33E-02	1.07E-02	2.76E-03
TC>AG	2.73E-03	6.58E-03	2.98E-03	4.35E-03	8.74E-03
TC>AT	8.35E-03	1.69E-02	8.12E-03	1.15E-02	1.14E-02
TC>CA	1.22E-02	6.25E-03	4.09E-03	1.25E-02	2.57E-03
TC>CG	2.00E-03	7.72E-07	6.88E-04	2.34E-03	6.59E-04
TC>CT	4.23E-03	5.79E-03	3.52E-03	3.48E-03	6.12E-03
TC>GA	7.52E-03	6.95E-03	4.93E-03	3.08E-03	4.49E-07
TC>GG	2.42E-03	1.39E-03	1.33E-03	1.02E-03	3.48E-03
TC>GT	1.51E-03	3.38E-03	1.98E-03	3.43E-03	5.49E-03
TG>AA	1.69E-03	8.08E-04	2.02E-03	5.25E-04	1.10E-07
TG>AC	3.53E-07	5.62E-07	8.44E-04	1.74E-03	2.29E-07
TG>AT	7.20E-03	1.08E-02	5.89E-03	5.27E-03	5.59E-08
TG>CA	8.99E-03	8.10E-03	4.35E-03	1.05E-02	4.08E-03
TG>CC	1.63E-03	6.12E-03	5.75E-04	8.07E-03	4.56E-03
TG>CT	1.75E-02	1.51E-02	6.12E-03	1.61E-02	2.66E-08
TG>GA	2.88E-03	2.29E-03	5.59E-07	5.45E-03	2.60E-07
TG>GC	3.00E-03	3.99E-03	9.53E-08	1.92E-03	3.09E-07
TG>GT	2.20E-03	4.07E-03	3.54E-03	5.71E-03	1.67E-03
TT>AA	5.19E-03	7.50E-03	3.84E-03	4.26E-03	4.58E-03
TT>AC	1.85E-03	3.05E-07	1.56E-07	3.82E-07	1.99E-07
TT>AG	1.98E-03	3.81E-03	2.75E-07	2.40E-03	2.14E-07
TT>CA	1.13E-03	4.02E-07	1.39E-07	2.78E-07	3.33E-03
TT>CC	4.10E-07	3.51E-07	5.82E-04	2.33E-03	2.86E-03
TT>CG	1.92E-07	2.31E-03	1.68E-07	3.77E-03	1.67E-07
TT>GA	2.31E-07	5.15E-07	1.38E-07	3.09E-07	1.74E-07
TT>GC	4.99E-04	1.70E-03	1.12E-07	2.91E-03	1.54E-07
TT>GG	7.87E-07	2.04E-03	7.64E-04	1.96E-03	8.14E-08
