Samples	Signature A	Signature B	Signature C	Signature D
PD4199a	982	106	381	0
PD4005a	556	709	0	95
PD3851a	0	56	330	49
PD4116a	272	1400	185	5
PD4086a	139	145	193	40
PD4194a	84	0	208	92
PD4248a	0	0	112	491
PD4120a	14440	280	0	82
PD4198a	20	405	640	58
PD3904a	152	233	109	833
PD3945a	68	1427	537	509
PD4107a	1	1157	594	755
PD3905a	160	520	0	499
PD4192a	236	355	0	401
PD4109a	484	1155	743	0
PD4103a	181	0	513	562
PD4115a	82	1703	663	0
PD4085a	0	166	459	0
PD3890a	211	683	100	480
PD4006a	197	1638	333	70
PD4088a	26	0	288	76
